,Url,BPM,BPM_Per_Year,MP,MPG,Pk,Player,Tm,VORP,VORP_Per_Year,WS,WS/48,WS_Per_Year,Year,Yrs
751,http://www.basketball-reference.com/players/n/nichode01.html,-15.3,-7.65,58.0,3.2,53,Demetris Nichols,CLE,-0.2,-0.1,-0.2,0.0,-0.1,2007,2.0
752,http://www.basketball-reference.com/players/n/noahjo01.html,4.2,0.42,17863.0,28.9,9,Joakim Noah,CHI,27.8,5.96,59.6,0.16,5.96,2007,10.0
753,http://www.basketball-reference.com/players/n/noelda01.html,-3.4,-3.4,792.0,11.6,39,David Noel,MIL,-0.3,0.4,0.4,0.024,0.4,2006,1.0
754,http://www.basketball-reference.com/players/n/noelne01.html,1.2,0.4,5323.0,27.6,6,Nerlens Noel,PHI,4.3,3.66666666667,11.0,0.099,3.66666666667,2013,3.0
755,http://www.basketball-reference.com/players/n/noguelu01.html,4.7,1.56666666667,1336.0,14.5,16,Lucas Nogueira,TOR,2.3,1.46666666667,4.4,0.158,1.46666666667,2013,3.0
756,http://www.basketball-reference.com/players/n/nordgje01.html,-6.8,-6.8,48.0,3.7,53,Jeff Nordgaard,MIL,-0.1,0.0,0.0,0.0,0.0,1996,1.0
757,http://www.basketball-reference.com/players/n/norelhe01.html,0.0,0.0,0.0,0.0,47,Henk Norel,MIN,0.0,0.0,0.0,0.0,0.0,2009,0.0
758,http://www.basketball-reference.com/players/n/norrimo01.html,-2.1,-0.233333333333,7640.0,17.2,33,Moochie Norris,VAN,-0.1,1.11111111111,10.0,0.063,1.11111111111,1996,9.0
759,http://www.basketball-reference.com/players/n/novakst01.html,-0.9,-0.0818181818182,5657.0,12.1,32,Steve Novak,HOU,1.6,1.31818181818,14.5,0.123,1.31818181818,2006,11.0
760,http://www.basketball-reference.com/players/n/nowitdi01.html,3.4,0.178947368421,48673.0,34.9,9,Dirk Nowitzki,DAL,66.0,10.5947368421,201.3,0.198,10.5947368421,1998,19.0
761,http://www.basketball-reference.com/players/n/nurkiju01.html,-0.5,-0.166666666667,3041.0,19.1,16,Jusuf Nurkic,DEN,1.1,1.3,3.9,0.062,1.3,2014,3.0
762,http://www.basketball-reference.com/players/o/obannch01.html,-2.8,-1.4,399.0,8.3,31,Charles O'Bannon,DET,-0.1,0.3,0.6,0.07,0.3,1997,2.0
763,http://www.basketball-reference.com/players/o/obryajo01.html,-6.7,-2.23333333333,1305.0,11.8,36,Johnny O'Bryant III,MIL,-1.5,-0.0333333333333,-0.1,-0.003,-0.0333333333333,2014,3.0
764,http://www.basketball-reference.com/players/o/obryapa01.html,-3.1,-0.775,524.0,5.8,9,Patrick O'Bryant,GSW,-0.2,0.125,0.5,0.046,0.125,2006,4.0
765,http://www.basketball-reference.com/players/o/odengr01.html,1.1,0.366666666667,2028.0,19.3,1,Greg Oden,POR,1.6,2.43333333333,7.3,0.174,2.43333333333,2007,3.0
766,http://www.basketball-reference.com/players/o/odomla01.html,2.5,0.178571428571,32131.0,33.4,4,Lamar Odom,LAC,36.3,5.5,77.0,0.115,5.5,1999,14.0
767,http://www.basketball-reference.com/players/o/okafoem01.html,-0.4,-0.0444444444444,18702.0,31.7,2,Emeka Okafor,CHA,7.5,4.92222222222,44.3,0.114,4.92222222222,2004,9.0
768,http://www.basketball-reference.com/players/o/okafoja01.html,-3.8,-1.9,2725.0,26.5,3,Jahlil Okafor,PHI,-1.2,1.2,2.4,0.043,1.2,2015,2.0
769,http://www.basketball-reference.com/players/o/okurme01.html,1.4,0.14,18429.0,29.1,38,Mehmet Okur,DET,15.7,5.47,54.7,0.142,5.47,2001,10.0
770,http://www.basketball-reference.com/players/o/oladivi01.html,-0.1,-0.025,9661.0,33.2,2,Victor Oladipo,ORL,4.7,3.425,13.7,0.068,3.425,2013,4.0
771,http://www.basketball-reference.com/players/o/olowomi01.html,-4.5,-0.5,13129.0,26.3,1,Michael Olowokandi,LAC,-8.3,0.277777777778,2.5,0.009,0.277777777778,1998,9.0
772,http://www.basketball-reference.com/players/o/olynyke01.html,1.1,0.275,5756.0,20.7,13,Kelly Olynyk,BOS,4.5,3.675,14.7,0.122,3.675,2013,4.0
773,http://www.basketball-reference.com/players/o/onealje01.html,0.0,0.0,27364.0,27.1,17,Jermaine O'Neal,POR,13.9,3.66666666667,66.0,0.116,3.66666666667,1996,18.0
774,http://www.basketball-reference.com/players/o/onuakch01.html,-0.6,-0.6,52.0,10.4,37,Chinanu Onuaku,HOU,0.0,0.1,0.1,0.0,0.1,2016,1.0
775,http://www.basketball-reference.com/players/o/oquinky01.html,1.0,0.2,4643.0,14.5,49,Kyle O'Quinn,ORL,3.5,2.2,11.0,0.114,2.2,2012,5.0
776,http://www.basketball-reference.com/players/o/oriakal01.html,0.0,0.0,0.0,0.0,57,Alex Oriakhi,PHO,0.0,0.0,0.0,0.0,0.0,2013,0.0
777,http://www.basketball-reference.com/players/o/ortonda01.html,-1.7,-0.566666666667,542.0,10.6,29,Daniel Orton,ORL,0.0,0.333333333333,1.0,0.093,0.333333333333,2010,3.0
778,http://www.basketball-reference.com/players/o/osmande01.html,0.0,0.0,0.0,0.0,31,Cedi Osman,MIN,0.0,0.0,0.0,0.0,0.0,2015,0.0
779,http://www.basketball-reference.com/players/o/oubreke01.html,-3.3,-1.65,2276.0,16.0,15,Kelly Oubre,WAS,-0.8,1.25,2.5,0.052,1.25,2015,2.0
780,http://www.basketball-reference.com/players/o/outlatr01.html,-2.3,-0.209090909091,13026.0,20.9,23,Travis Outlaw,POR,-0.9,1.5,16.5,0.061,1.5,2003,11.0
781,http://www.basketball-reference.com/players/o/owensch01.html,-10.7,-10.7,6.0,6.0,48,Chris Owens,MEM,0.0,0.0,0.0,0.0,0.0,2002,1.0
782,http://www.basketball-reference.com/players/o/oyedeol01.html,-4.7,-1.56666666667,587.0,6.3,42,Olumide Oyedeji,OKC,-0.4,0.4,1.2,0.095,0.4,2000,3.0
783,http://www.basketball-reference.com/players/p/pachuza01.html,-0.4,-0.0285714285714,20390.0,21.2,42,Zaza Pachulia,ORL,8.4,3.36428571429,47.1,0.111,3.36428571429,2003,14.0
784,http://www.basketball-reference.com/players/p/padgesc01.html,-0.1,-0.0125,5613.0,12.5,28,Scott Padgett,UTA,2.7,1.65,13.2,0.113,1.65,1999,8.0
785,http://www.basketball-reference.com/players/p/paigema01.html,0.0,0.0,0.0,0.0,55,Marcus Paige,BRK,0.0,0.0,0.0,0.0,0.0,2016,0.0
786,http://www.basketball-reference.com/players/p/papagge01.html,-2.7,-2.7,355.0,16.1,13,Georgios Papagiannis,SAC,-0.1,0.4,0.4,0.057,0.4,2016,1.0
787,http://www.basketball-reference.com/players/p/papanko01.html,-2.8,-1.4,1089.0,15.8,48,Kostas Papanikolaou,HOU,-0.2,0.15,0.3,0.015,0.15,2012,2.0
788,http://www.basketball-reference.com/players/p/parkean01.html,0.6,0.0666666666667,13752.0,27.8,21,Anthony Parker,PHI,9.1,2.72222222222,24.5,0.085,2.72222222222,1997,9.0
789,http://www.basketball-reference.com/players/p/parkeja01.html,-1.3,-0.433333333333,4874.0,32.1,2,Jabari Parker,MIL,0.9,3.0,9.0,0.088,3.0,2014,3.0
790,http://www.basketball-reference.com/players/p/parketo01.html,1.0,0.0625,36205.0,31.7,28,Tony Parker,SAS,27.1,6.8125,109.0,0.144,6.8125,2001,16.0
791,http://www.basketball-reference.com/players/p/parsoch01.html,2.0,0.333333333333,12005.0,32.1,38,Chandler Parsons,HOU,12.1,4.66666666667,28.0,0.112,4.66666666667,2011,6.0
792,http://www.basketball-reference.com/players/p/pattean01.html,-0.5,-0.25,304.0,7.6,46,Andrae Patterson,MIN,0.1,0.35,0.7,0.114,0.35,1998,2.0
793,http://www.basketball-reference.com/players/p/pattela01.html,-5.5,-2.75,435.0,10.9,48,Lamar Patterson,ATL,-0.4,0.05,0.1,0.006,0.05,2014,2.0
794,http://www.basketball-reference.com/players/p/pattepa01.html,0.7,0.1,11434.0,24.0,14,Patrick Patterson,HOU,7.9,3.57142857143,25.0,0.105,3.57142857143,2010,7.0
795,http://www.basketball-reference.com/players/p/patteru01.html,0.9,0.09,15955.0,24.6,31,Ruben Patterson,LAL,11.8,3.51,35.1,0.106,3.51,1998,10.0
796,http://www.basketball-reference.com/players/p/paulch01.html,7.6,0.633333333333,29646.0,35.5,4,Chris Paul,NOP,71.7,12.8833333333,154.6,0.25,12.8833333333,2005,12.0
797,http://www.basketball-reference.com/players/p/pavloal01.html,-3.4,-0.34,8888.0,15.7,19,Sasha Pavlovic,UTA,-3.2,0.7,7.0,0.038,0.7,2003,10.0
798,http://www.basketball-reference.com/players/p/paynead01.html,-5.5,-1.83333333333,1360.0,13.3,15,Adreian Payne,ATL,-1.2,-0.233333333333,-0.7,-0.026,-0.233333333333,2014,3.0
799,http://www.basketball-reference.com/players/p/payneca01.html,-3.6,-1.8,1160.0,13.2,14,Cameron Payne,OKC,-0.5,0.5,1.0,0.042,0.5,2015,2.0
800,http://www.basketball-reference.com/players/p/paytoel01.html,-0.4,-0.133333333333,7046.0,29.7,10,Elfrid Payton,ORL,2.9,2.96666666667,8.9,0.061,2.96666666667,2014,3.0
801,http://www.basketball-reference.com/players/p/pecheol01.html,-7.0,-2.33333333333,1044.0,9.4,18,Oleksiy Pecherov,WAS,-1.3,0.166666666667,0.5,0.025,0.166666666667,2006,3.0
802,http://www.basketball-reference.com/players/p/pekovni01.html,-0.8,-0.133333333333,6744.0,24.9,31,Nikola Pekovic,MIN,2.0,3.13333333333,18.8,0.134,3.13333333333,2008,6.0
803,http://www.basketball-reference.com/players/p/pendeje02.html,-1.4,-0.233333333333,2322.0,9.8,31,Jeff Pendergraph,POR,0.4,1.05,6.3,0.131,1.05,2009,6.0
